gender;race/ethnicity;parental level of education;lunch;test preparation course;test prep course;math score;reading score;writing score;math;reading;writing;math grade;reading grade;writing grade
female;group B;high school;standard;none;0;65;64;62;60-69;60-69;60-69;D;D;D
male;group C;high school;standard;none;0;68;60;53;60-69;60-69;0-59;D;D;F
male;group A;some high school;standard;completed;1;47;49;49;0-59;0-59;0-59;F;F;F
female;group D;some college;free/reduced;none;0;71;83;83;70-79;80-89;80-89;C;B;B
female;group B;some high school;standard;completed;1;60;70;70;60-69;70-79;70-79;D;C;C
male;group D;master's degree;standard;none;0;80;80;72;80-89;80-89;70-79;B;B;C
male;group D;high school;standard;none;0;54;52;52;0-59;0-59;0-59;F;F;F
female;group E;some college;standard;none;0;62;73;70;60-69;70-79;70-79;D;C;C
female;group C;associate's degree;free/reduced;none;0;64;73;68;60-69;70-79;60-69;D;C;D
male;group C;associate's degree;standard;completed;1;78;77;77;70-79;70-79;70-79;C;C;C
female;group B;some college;standard;none;0;70;75;78;70-79;70-79;70-79;C;C;C
female;group C;master's degree;free/reduced;completed;1;65;81;81;60-69;80-89;80-89;D;B;B
female;group C;some high school;free/reduced;completed;1;64;79;77;60-69;70-79;70-79;D;C;C
male;group C;some college;standard;completed;1;79;79;78;70-79;70-79;70-79;C;C;C
female;group C;some high school;free/reduced;none;0;44;50;51;0-59;0-59;0-59;F;F;F
female;group E;high school;standard;none;0;99;93;90;90-100;90-100;90-100;A;A;A
male;group D;high school;standard;none;0;76;73;68;70-79;70-79;60-69;C;C;D
male;group D;some high school;free/reduced;none;0;59;42;41;0-59;0-59;0-59;F;F;F
female;group C;bachelor's degree;standard;none;0;63;75;81;60-69;70-79;80-89;D;C;B
female;group D;high school;standard;none;0;69;72;77;60-69;70-79;70-79;D;C;C
female;group D;associate's degree;standard;completed;1;88;92;95;80-89;90-100;90-100;B;A;A
female;group E;some college;free/reduced;none;0;71;76;70;70-79;70-79;70-79;C;C;C
male;group C;bachelor's degree;standard;none;0;69;63;61;60-69;60-69;60-69;D;D;D
male;group C;some college;standard;none;0;58;49;42;0-59;0-59;0-59;F;F;F
female;group D;associate's degree;free/reduced;none;0;47;53;58;0-59;0-59;0-59;F;F;F
female;group D;some college;standard;none;0;65;70;71;60-69;70-79;70-79;D;C;C
male;group B;some college;standard;completed;1;88;85;76;80-89;80-89;70-79;B;B;C
male;group C;bachelor's degree;standard;none;0;83;78;73;80-89;70-79;70-79;B;C;C
female;group C;some high school;standard;completed;1;85;92;93;80-89;90-100;90-100;B;A;A
female;group E;high school;standard;completed;1;59;63;75;0-59;60-69;70-79;F;D;C
female;group C;some high school;free/reduced;none;0;65;86;80;60-69;80-89;80-89;D;B;B
male;group B;bachelor's degree;free/reduced;none;0;73;56;57;70-79;0-59;0-59;C;F;F
male;group D;high school;standard;none;0;53;52;42;0-59;0-59;0-59;F;F;F
male;group D;high school;standard;none;0;45;48;46;0-59;0-59;0-59;F;F;F
female;group D;bachelor's degree;free/reduced;none;0;73;79;84;70-79;70-79;80-89;C;C;B
female;group D;some college;free/reduced;completed;1;70;78;78;70-79;70-79;70-79;C;C;C
female;group B;some high school;standard;none;0;37;46;46;0-59;0-59;0-59;F;F;F
male;group B;associate's degree;standard;completed;1;81;82;82;80-89;80-89;80-89;B;B;B
male;group E;associate's degree;standard;completed;1;97;82;88;90-100;80-89;80-89;A;B;B
female;group B;some high school;standard;none;0;67;89;82;60-69;80-89;80-89;D;B;B
male;group B;bachelor's degree;free/reduced;none;0;88;75;76;80-89;70-79;70-79;B;C;C
male;group E;some high school;standard;completed;1;77;76;77;70-79;70-79;70-79;C;C;C
male;group C;associate's degree;standard;none;0;76;70;68;70-79;70-79;60-69;C;C;D
male;group D;some high school;standard;none;0;86;73;70;80-89;70-79;70-79;B;C;C
male;group C;some high school;standard;completed;1;63;60;57;60-69;60-69;0-59;D;D;F
female;group E;bachelor's degree;standard;none;0;65;73;75;60-69;70-79;70-79;D;C;C
male;group D;high school;free/reduced;completed;1;78;77;80;70-79;70-79;80-89;C;C;B
male;group B;associate's degree;free/reduced;none;0;67;62;60;60-69;60-69;60-69;D;D;D
male;group A;some high school;standard;completed;1;46;41;43;0-59;0-59;0-59;F;F;F
male;group E;associate's degree;standard;completed;1;71;74;68;70-79;70-79;60-69;C;C;D
male;group C;high school;free/reduced;completed;1;40;46;50;0-59;0-59;0-59;F;F;F
male;group D;associate's degree;free/reduced;none;0;90;87;75;90-100;80-89;70-79;A;B;C
male;group A;some college;free/reduced;completed;1;81;78;81;80-89;70-79;80-89;B;C;B
male;group D;some high school;free/reduced;none;0;56;54;52;0-59;0-59;0-59;F;F;F
female;group C;associate's degree;standard;completed;1;67;84;81;60-69;80-89;80-89;D;B;B
male;group B;associate's degree;standard;none;0;80;76;64;80-89;70-79;60-69;B;C;D
female;group C;associate's degree;standard;completed;1;74;75;83;70-79;70-79;80-89;C;C;B
male;group A;some college;standard;none;0;69;67;69;60-69;60-69;60-69;D;D;D
male;group E;some college;standard;completed;1;99;87;81;90-100;80-89;80-89;A;B;B
male;group C;some high school;standard;none;0;51;52;44;0-59;0-59;0-59;F;F;F
female;group B;associate's degree;free/reduced;none;0;53;71;67;0-59;70-79;60-69;F;C;D
female;group D;high school;free/reduced;none;0;49;57;52;0-59;0-59;0-59;F;F;F
female;group B;associate's degree;standard;none;0;73;76;80;70-79;70-79;80-89;C;C;B
male;group B;bachelor's degree;standard;none;0;66;60;57;60-69;60-69;0-59;D;D;F
male;group D;bachelor's degree;standard;completed;1;67;61;68;60-69;60-69;60-69;D;D;D
female;group C;associate's degree;free/reduced;completed;1;68;67;69;60-69;60-69;60-69;D;D;D
female;group C;bachelor's degree;standard;completed;1;59;64;75;0-59;60-69;70-79;F;D;C
male;group C;high school;standard;none;0;71;66;65;70-79;60-69;60-69;C;D;D
female;group D;master's degree;standard;completed;1;77;82;91;70-79;80-89;90-100;C;B;A
male;group C;associate's degree;standard;none;0;83;72;78;80-89;70-79;70-79;B;C;C
male;group B;bachelor's degree;standard;none;0;63;71;69;60-69;70-79;60-69;D;C;D
female;group D;associate's degree;free/reduced;none;0;56;65;63;0-59;60-69;60-69;F;D;D
female;group C;high school;free/reduced;completed;1;67;79;84;60-69;70-79;80-89;D;C;B
female;group E;high school;standard;none;0;75;86;79;70-79;80-89;70-79;C;B;C
female;group C;some college;standard;none;0;71;81;80;70-79;80-89;80-89;C;B;B
female;group C;some high school;free/reduced;none;0;43;53;53;0-59;0-59;0-59;F;F;F
female;group C;high school;free/reduced;none;0;41;46;43;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;82;90;94;80-89;90-100;90-100;B;A;A
male;group C;some college;standard;none;0;61;61;62;60-69;60-69;60-69;D;D;D
male;group A;some college;free/reduced;none;0;28;23;19;0-59;0-59;0-59;F;F;F
male;group C;associate's degree;standard;completed;1;82;75;77;80-89;70-79;70-79;B;C;C
female;group B;some high school;standard;none;0;41;55;51;0-59;0-59;0-59;F;F;F
male;group C;high school;standard;none;0;71;60;61;70-79;60-69;60-69;C;D;D
male;group C;associate's degree;standard;none;0;47;37;35;0-59;0-59;0-59;F;F;F
male;group E;associate's degree;standard;completed;1;62;56;53;60-69;0-59;0-59;D;F;F
male;group B;associate's degree;standard;none;0;90;78;81;90-100;70-79;80-89;A;C;B
female;group C;bachelor's degree;standard;none;0;83;93;95;80-89;90-100;90-100;B;A;A
female;group B;some college;free/reduced;none;0;61;68;66;60-69;60-69;60-69;D;D;D
male;group D;some high school;standard;completed;1;76;70;69;70-79;70-79;60-69;C;C;D
male;group C;associate's degree;standard;none;0;49;51;43;0-59;0-59;0-59;F;F;F
female;group B;some high school;free/reduced;none;0;24;38;27;0-59;0-59;0-59;F;F;F
female;group D;some high school;free/reduced;completed;1;35;55;60;0-59;0-59;60-69;F;F;D
male;group C;high school;free/reduced;none;0;58;61;52;0-59;60-69;0-59;F;D;F
female;group C;high school;standard;none;0;61;73;63;60-69;70-79;60-69;D;C;D
female;group B;high school;standard;completed;1;69;76;74;60-69;70-79;70-79;D;C;C
male;group D;associate's degree;standard;completed;1;67;72;67;60-69;70-79;60-69;D;C;D
male;group D;some college;standard;none;0;79;73;67;70-79;70-79;60-69;C;C;D
female;group C;high school;standard;none;0;72;80;75;70-79;80-89;70-79;C;B;C
male;group B;some college;standard;none;0;62;61;57;60-69;60-69;0-59;D;D;F
female;group C;bachelor's degree;standard;completed;1;77;94;95;70-79;90-100;90-100;C;A;A
male;group D;high school;free/reduced;none;0;75;74;66;70-79;70-79;60-69;C;C;D
male;group E;associate's degree;standard;none;0;87;74;76;80-89;70-79;70-79;B;C;C
female;group B;bachelor's degree;standard;none;0;52;65;69;0-59;60-69;60-69;F;D;D
male;group E;some college;standard;none;0;66;57;52;60-69;0-59;0-59;D;F;F
female;group C;some college;standard;completed;1;63;78;80;60-69;70-79;80-89;D;C;B
female;group C;associate's degree;standard;none;0;46;58;57;0-59;0-59;0-59;F;F;F
female;group C;some college;standard;none;0;59;71;70;0-59;70-79;70-79;F;C;C
female;group B;bachelor's degree;standard;none;0;61;72;70;60-69;70-79;70-79;D;C;C
male;group A;associate's degree;standard;none;0;63;61;61;60-69;60-69;60-69;D;D;D
female;group C;some college;free/reduced;completed;1;42;66;69;0-59;60-69;60-69;F;D;D
male;group D;some college;free/reduced;none;0;59;62;61;0-59;60-69;60-69;F;D;D
female;group D;some college;standard;none;0;80;90;89;80-89;90-100;80-89;B;A;B
female;group B;high school;standard;none;0;58;62;59;0-59;60-69;0-59;F;D;F
male;group B;some high school;standard;completed;1;85;84;78;80-89;80-89;70-79;B;B;C
female;group C;some college;standard;none;0;52;58;58;0-59;0-59;0-59;F;F;F
female;group D;some high school;free/reduced;none;0;27;34;32;0-59;0-59;0-59;F;F;F
male;group C;some college;standard;none;0;59;60;58;0-59;60-69;0-59;F;D;F
male;group A;bachelor's degree;free/reduced;completed;1;49;58;60;0-59;0-59;60-69;F;F;D
male;group C;high school;standard;completed;1;69;58;53;60-69;0-59;0-59;D;F;F
male;group C;bachelor's degree;free/reduced;none;0;61;66;61;60-69;60-69;60-69;D;D;D
female;group A;some high school;free/reduced;none;0;44;64;58;0-59;60-69;0-59;F;D;F
female;group D;some high school;standard;none;0;73;84;85;70-79;80-89;80-89;C;B;B
male;group E;some college;standard;none;0;84;77;71;80-89;70-79;70-79;B;C;C
female;group C;some college;free/reduced;completed;1;45;73;70;0-59;70-79;70-79;F;C;C
male;group D;some high school;standard;none;0;74;74;72;70-79;70-79;70-79;C;C;C
female;group D;some college;standard;completed;1;82;97;96;80-89;90-100;90-100;B;A;A
female;group D;bachelor's degree;standard;none;0;59;70;73;0-59;70-79;70-79;F;C;C
male;group E;associate's degree;free/reduced;none;0;46;43;41;0-59;0-59;0-59;F;F;F
female;group D;some high school;standard;none;0;80;90;82;80-89;90-100;80-89;B;A;B
female;group D;master's degree;free/reduced;completed;1;85;95;100;80-89;90-100;90-100;B;A;A
female;group A;some high school;standard;none;0;71;83;77;70-79;80-89;70-79;C;B;C
male;group A;bachelor's degree;standard;none;0;66;64;62;60-69;60-69;60-69;D;D;D
female;group B;associate's degree;standard;none;0;80;86;83;80-89;80-89;80-89;B;B;B
male;group C;associate's degree;standard;completed;1;87;100;95;80-89;90-100;90-100;B;A;A
male;group C;master's degree;free/reduced;none;0;79;81;71;70-79;80-89;70-79;C;B;C
female;group E;some high school;free/reduced;none;0;38;49;45;0-59;0-59;0-59;F;F;F
female;group A;some high school;free/reduced;none;0;38;43;43;0-59;0-59;0-59;F;F;F
female;group E;some college;standard;none;0;67;76;75;60-69;70-79;70-79;D;C;C
female;group E;bachelor's degree;standard;none;0;64;73;70;60-69;70-79;70-79;D;C;C
female;group C;associate's degree;free/reduced;none;0;57;78;67;0-59;70-79;60-69;F;C;D
female;group D;high school;standard;none;0;62;64;64;60-69;60-69;60-69;D;D;D
male;group D;master's degree;standard;none;0;73;70;75;70-79;70-79;70-79;C;C;C
male;group E;some high school;free/reduced;completed;1;73;67;59;70-79;60-69;0-59;C;D;F
female;group D;some college;standard;none;0;77;68;77;70-79;60-69;70-79;C;D;C
male;group E;some college;standard;none;0;76;67;67;70-79;60-69;60-69;C;D;D
male;group C;associate's degree;standard;completed;1;57;54;56;0-59;0-59;0-59;F;F;F
female;group C;some high school;standard;completed;1;65;74;77;60-69;70-79;70-79;D;C;C
male;group A;high school;free/reduced;none;0;48;45;41;0-59;0-59;0-59;F;F;F
female;group B;high school;free/reduced;none;0;50;67;63;0-59;60-69;60-69;F;D;D
female;group C;associate's degree;standard;none;0;85;89;95;80-89;80-89;90-100;B;B;A
male;group B;some high school;standard;none;0;74;63;57;70-79;60-69;0-59;C;D;F
male;group D;some high school;standard;none;0;60;59;54;60-69;0-59;0-59;D;F;F
female;group C;some high school;standard;completed;1;59;54;67;0-59;0-59;60-69;F;F;D
male;group A;some college;standard;none;0;53;43;43;0-59;0-59;0-59;F;F;F
female;group A;some college;free/reduced;none;0;49;65;55;0-59;60-69;0-59;F;D;F
female;group D;high school;standard;completed;1;88;99;100;80-89;90-100;90-100;B;A;A
female;group C;high school;standard;none;0;54;59;62;0-59;0-59;60-69;F;F;D
female;group C;some high school;standard;none;0;63;73;68;60-69;70-79;60-69;D;C;D
male;group B;associate's degree;standard;completed;1;65;65;63;60-69;60-69;60-69;D;D;D
female;group B;associate's degree;standard;none;0;82;80;77;80-89;80-89;70-79;B;B;C
female;group D;high school;free/reduced;completed;1;52;57;56;0-59;0-59;0-59;F;F;F
male;group D;associate's degree;standard;completed;1;87;84;85;80-89;80-89;80-89;B;B;B
female;group D;master's degree;standard;completed;1;70;71;74;70-79;70-79;70-79;C;C;C
male;group E;some college;standard;completed;1;84;83;78;80-89;80-89;70-79;B;B;C
male;group D;associate's degree;standard;none;0;71;66;60;70-79;60-69;60-69;C;D;D
male;group B;some high school;standard;completed;1;63;67;67;60-69;60-69;60-69;D;D;D
female;group C;bachelor's degree;free/reduced;completed;1;51;72;79;0-59;70-79;70-79;F;C;C
male;group E;high school;standard;none;0;84;73;69;80-89;70-79;60-69;B;C;D
male;group C;bachelor's degree;standard;completed;1;71;74;68;70-79;70-79;60-69;C;C;D
male;group C;associate's degree;standard;none;0;74;73;67;70-79;70-79;60-69;C;C;D
male;group D;some college;standard;none;0;68;59;62;60-69;0-59;60-69;D;F;D
male;group E;high school;free/reduced;completed;1;57;56;54;0-59;0-59;0-59;F;F;F
female;group C;associate's degree;free/reduced;completed;1;82;93;93;80-89;90-100;90-100;B;A;A
female;group D;high school;standard;completed;1;57;58;64;0-59;0-59;60-69;F;F;D
female;group D;master's degree;free/reduced;completed;1;47;58;67;0-59;0-59;60-69;F;F;D
female;group A;some high school;standard;completed;1;59;85;80;0-59;80-89;80-89;F;B;B
male;group B;some college;free/reduced;none;0;41;39;34;0-59;0-59;0-59;F;F;F
female;group C;some college;free/reduced;none;0;62;67;62;60-69;60-69;60-69;D;D;D
male;group C;bachelor's degree;standard;none;0;86;83;86;80-89;80-89;80-89;B;B;B
male;group C;some high school;free/reduced;none;0;69;71;65;60-69;70-79;60-69;D;C;D
male;group A;some high school;free/reduced;none;0;65;59;53;60-69;0-59;0-59;D;F;F
male;group C;some high school;free/reduced;none;0;68;63;54;60-69;60-69;0-59;D;D;F
male;group C;associate's degree;free/reduced;none;0;64;66;59;60-69;60-69;0-59;D;D;F
female;group C;high school;standard;none;0;61;72;70;60-69;70-79;70-79;D;C;C
male;group C;high school;standard;none;0;61;56;55;60-69;0-59;0-59;D;F;F
female;group A;some high school;free/reduced;none;0;47;59;50;0-59;0-59;0-59;F;F;F
male;group C;some high school;standard;none;0;73;66;66;70-79;60-69;60-69;C;D;D
male;group C;some college;free/reduced;completed;1;50;48;53;0-59;0-59;0-59;F;F;F
male;group D;associate's degree;standard;none;0;75;68;64;70-79;60-69;60-69;C;D;D
male;group D;associate's degree;free/reduced;none;0;75;66;73;70-79;60-69;70-79;C;D;C
male;group C;high school;standard;none;0;70;56;51;70-79;0-59;0-59;C;F;F
male;group D;some high school;standard;completed;1;89;88;82;80-89;80-89;80-89;B;B;B
female;group C;some college;standard;completed;1;67;81;79;60-69;80-89;70-79;D;B;C
female;group D;high school;standard;none;0;78;81;80;70-79;80-89;80-89;C;B;B
female;group A;some high school;free/reduced;none;0;59;73;69;0-59;70-79;60-69;F;C;D
female;group B;associate's degree;standard;none;0;73;83;76;70-79;80-89;70-79;C;B;C
male;group A;some high school;free/reduced;none;0;79;82;73;70-79;80-89;70-79;C;B;C
female;group C;some high school;standard;completed;1;67;74;77;60-69;70-79;70-79;D;C;C
male;group D;some college;free/reduced;none;0;69;66;60;60-69;60-69;60-69;D;D;D
male;group C;high school;standard;completed;1;86;81;80;80-89;80-89;80-89;B;B;B
male;group B;high school;standard;none;0;47;46;42;0-59;0-59;0-59;F;F;F
male;group B;associate's degree;standard;none;0;81;73;72;80-89;70-79;70-79;B;C;C
female;group C;some college;free/reduced;completed;1;64;85;85;60-69;80-89;80-89;D;B;B
female;group E;some college;standard;none;0;100;92;97;90-100;90-100;90-100;A;A;A
female;group C;associate's degree;free/reduced;none;0;65;77;74;60-69;70-79;70-79;D;C;C
male;group C;some college;free/reduced;none;0;65;58;49;60-69;0-59;0-59;D;F;F
female;group C;associate's degree;free/reduced;none;0;53;61;62;0-59;60-69;60-69;F;D;D
male;group C;bachelor's degree;free/reduced;none;0;37;56;47;0-59;0-59;0-59;F;F;F
female;group D;bachelor's degree;standard;none;0;79;89;89;70-79;80-89;80-89;C;B;B
male;group D;associate's degree;free/reduced;none;0;53;54;48;0-59;0-59;0-59;F;F;F
female;group E;bachelor's degree;standard;none;0;100;100;100;90-100;90-100;90-100;A;A;A
male;group B;high school;standard;completed;1;72;65;68;70-79;60-69;60-69;C;D;D
male;group C;bachelor's degree;free/reduced;none;0;53;58;55;0-59;0-59;0-59;F;F;F
male;group B;some college;free/reduced;none;0;54;54;45;0-59;0-59;0-59;F;F;F
female;group E;some college;standard;none;0;71;70;76;70-79;70-79;70-79;C;C;C
female;group C;some college;free/reduced;none;0;77;90;91;70-79;90-100;90-100;C;A;A
male;group A;bachelor's degree;standard;completed;1;75;58;62;70-79;0-59;60-69;C;F;D
female;group C;some college;standard;none;0;84;87;91;80-89;80-89;90-100;B;B;A
female;group D;associate's degree;free/reduced;none;0;26;31;38;0-59;0-59;0-59;F;F;F
male;group A;high school;free/reduced;completed;1;72;67;65;70-79;60-69;60-69;C;D;D
female;group A;high school;free/reduced;completed;1;77;88;85;70-79;80-89;80-89;C;B;B
male;group C;some college;standard;none;0;91;74;76;90-100;70-79;70-79;A;C;C
female;group C;associate's degree;standard;completed;1;83;85;90;80-89;80-89;90-100;B;B;A
female;group C;high school;standard;none;0;63;69;74;60-69;60-69;70-79;D;D;C
female;group C;associate's degree;standard;completed;1;68;86;84;60-69;80-89;80-89;D;B;B
female;group D;some high school;standard;none;0;59;67;61;0-59;60-69;60-69;F;D;D
female;group B;associate's degree;standard;completed;1;90;90;91;90-100;90-100;90-100;A;A;A
female;group D;bachelor's degree;standard;completed;1;71;76;83;70-79;70-79;80-89;C;C;B
male;group E;bachelor's degree;standard;completed;1;76;62;66;70-79;60-69;60-69;C;D;D
male;group D;associate's degree;standard;none;0;80;68;72;80-89;60-69;70-79;B;D;C
female;group D;master's degree;standard;none;0;55;64;70;0-59;60-69;70-79;F;D;C
male;group E;associate's degree;standard;none;0;76;71;67;70-79;70-79;60-69;C;C;D
male;group B;high school;standard;completed;1;73;71;68;70-79;70-79;60-69;C;C;D
female;group D;associate's degree;free/reduced;none;0;52;59;56;0-59;0-59;0-59;F;F;F
male;group C;some college;free/reduced;none;0;68;68;61;60-69;60-69;60-69;D;D;D
male;group A;high school;standard;none;0;59;52;46;0-59;0-59;0-59;F;F;F
female;group B;associate's degree;standard;none;0;49;52;54;0-59;0-59;0-59;F;F;F
male;group C;high school;standard;none;0;70;74;71;70-79;70-79;70-79;C;C;C
male;group D;some college;free/reduced;none;0;61;47;56;60-69;0-59;0-59;D;F;F
female;group C;associate's degree;free/reduced;none;0;60;75;74;60-69;70-79;70-79;D;C;C
male;group B;some high school;standard;completed;1;64;53;57;60-69;0-59;0-59;D;F;F
male;group A;associate's degree;free/reduced;completed;1;79;82;82;70-79;80-89;80-89;C;B;B
female;group A;associate's degree;free/reduced;none;0;65;85;76;60-69;80-89;70-79;D;B;C
female;group C;associate's degree;standard;none;0;64;64;70;60-69;60-69;70-79;D;D;C
female;group C;some college;standard;none;0;83;83;90;80-89;80-89;90-100;B;B;A
female;group C;bachelor's degree;standard;none;0;81;88;90;80-89;80-89;90-100;B;B;A
female;group B;high school;standard;none;0;54;64;68;0-59;60-69;60-69;F;D;D
male;group D;high school;standard;completed;1;68;64;66;60-69;60-69;60-69;D;D;D
female;group C;some college;standard;none;0;54;48;52;0-59;0-59;0-59;F;F;F
female;group D;some college;free/reduced;completed;1;59;78;76;0-59;70-79;70-79;F;C;C
female;group B;some high school;standard;none;0;66;69;68;60-69;60-69;60-69;D;D;D
